Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Butane,272.9360962,101325,0.965563536,1.111488342,0.007051308,2.68769598
Butane,277.9360962,101325,0.967275381,1.109333396,0.007188026,2.634673834
Butane,277.9360962,122203.4844,0.96028316,1.112051129,0.007201257,3.200697899
Butane,282.9360962,101325,0.968879044,1.107259512,0.007324232,2.583830595
Butane,282.9360962,122203.4844,0.962243319,1.109802723,0.007337426,3.137730837
Butane,282.9360962,146289.3438,0.954484642,1.112874627,0.007352459,3.78669858
Butane,287.9360962,101325,0.970383108,1.105262399,0.007459771,2.535027266
Butane,287.9360962,122203.4844,0.964080334,1.10764575,0.007472919,3.077369213
Butane,287.9360962,146289.3438,0.956716955,1.110517502,0.007487899,3.712260485
Butane,287.9360962,173899.75,0.948148727,1.113983154,0.007504953,4.452785015
Butane,292.9360962,101325,0.97179544,1.103338122,0.00759454,2.488136768
Butane,292.9360962,122203.4844,0.9658041,1.105574727,0.007607633,3.019444227
Butane,292.9360962,146289.3438,0.958809853,1.108263612,0.00762255,3.640932798
Butane,292.9360962,173899.75,0.950678527,1.11149931,0.007639531,4.36513567
Butane,292.9360962,205363.7031,0.94125706,1.115404248,0.007658853,5.206524372
Butane,297.9360962,101325,0.973123014,1.101483107,0.007728481,2.443042994
Butane,297.9360962,122203.4844,0.967423379,1.103585005,0.00774151,2.963802338
Butane,297.9360962,146289.3438,0.960774302,1.106106281,0.007756355,3.572510719
Butane,297.9360962,173899.75,0.953050852,1.109132528,0.007773252,4.281196117
Butane,297.9360962,205363.7031,0.944111109,1.112772822,0.007792473,5.103672981
Butane,297.9360962,241021.1094,0.933791697,1.117169499,0.007814342,6.05602026
Butane,302.9360962,101325,0.974372327,1.099694371,0.007861564,2.399639606
Butane,302.9360962,122203.4844,0.968946278,1.101672053,0.007874521,2.910303116
Butane,302.9360962,146289.3438,0.962620378,1.10403955,0.007889288,3.506807804
Butane,302.9360962,173899.75,0.955278158,1.106874347,0.00790609,4.200717449
Butane,302.9360962,205363.7031,0.946787775,1.110274315,0.007925201,5.005245686
Butane,302.9360962,241021.1094,0.936998427,1.114365935,0.007946934,5.935680866
Butane,302.9360962,281221.875,0.925735176,1.119315863,0.007971664,7.009978771
Butane,307.9360962,101325,0.975549102,1.097968698,0.007993786,2.357828617
Butane,307.9360962,122203.4844,0.970379889,1.09983182,0.008006667,2.858818293
Butane,307.9360962,146289.3438,0.964357138,1.102057934,0.008021345,3.443654299
Butane,307.9360962,173899.75,0.957371771,1.104717493,0.008038048,4.123472691
Butane,307.9360962,205363.7031,0.949301243,1.107898474,0.008057038,4.910937786
Butane,307.9360962,241021.1094,0.940005958,1.111713886,0.008078625,5.82062006
Butane,307.9360962,281221.875,0.929325104,1.116310954,0.008103173,6.869517326
Butane,307.9360962,326325.375,0.91707021,1.12188673,0.008131122,8.077798843
Butane,312.9360962,101325,0.976658642,1.096303582,0.008125165,2.317520142
Butane,312.9360962,122203.4844,0.971730947,1.098060727,0.008137963,2.809229851
Butane,312.9360962,146289.3438,0.965992749,1.100156665,0.008152547,3.382894993
Butane,312.9360962,173899.75,0.959341943,1.102655292,0.008169142,4.049255848
Butane,312.9360962,205363.7031,0.951664269,1.105636239,0.008188006,4.820472717
Butane,312.9360962,241021.1094,0.942830205,1.109200835,0.008209439,5.71046257
Butane,312.9360962,281221.875,0.932691634,1.113479614,0.008233798,6.735359192
Butane,312.9360962,326325.375,0.921076059,1.118645549,0.008261505,7.914164543
Butane,312.9360962,376699.5313,0.907779217,1.124933362,0.00829308,9.269676208
Butane,317.9360962,101325,0.977705836,1.094696283,0.008255729,2.278630733
Butane,317.9360962,122203.4844,0.973005354,1.096355319,0.00826844,2.761429071
Butane,317.9360962,146289.3438,0.967534661,1.098331094,0.008282925,3.324387789
Butane,317.9360962,173899.75,0.961197972,1.100681782,0.008299406,3.977879763
Butane,317.9360962,205363.7031,0.953888416,1.103479743,0.008318136,4.733601093
Butane,317.9360962,241021.1094,0.945485651,1.106815815,0.00833941,5.60487175
Butane,317.9360962,281221.875,0.935852766,1.110806465,0.008363572,6.607042789
Butane,317.9360962,326325.375,0.924831569,1.115604401,0.008391035,7.758070469
Butane,317.9360962,376699.5313,0.912236333,1.121413946,0.008422293,9.079319
Butane,317.9360962,432720.3125,0.897844374,1.128517032,0.008457962,10.59672737
Butane,322.9360962,101325,0.978694975,1.093144417,0.008385522,2.241083384
Butane,322.9360962,122203.4844,0.974208593,1.094712615,0.008398141,2.715316057
Butane,322.9360962,146289.3438,0.96898967,1.096577168,0.008412521,3.268002033
Butane,322.9360962,173899.75,0.962948143,1.098791599,0.008428882,3.909172297
Butane,322.9360962,205363.7031,0.955984056,1.101421475,0.008447473,4.650094986
Butane,322.9360962,241021.1094,0.947985232,1.104548931,0.008468581,5.503541946
Butane,322.9360962,281221.875,0.938824892,1.108278155,0.008492543,6.484153748
Butane,322.9360962,326325.375,0.928357363,1.112744331,0.008519757,7.608944416
Butane,322.9360962,376699.5313,0.916413248,1.118126631,0.008550699,8.898002625
Butane,322.9360962,432720.3125,0.902791142,1.124668479,0.008585955,10.375494
Butane,322.9360962,494771.0938,0.887246847,1.132711649,0.008626257,12.07114983
Butane,327.9360962,101325,0.979630172,1.091645718,0.008514591,2.204807281
Butane,327.9360962,122203.4844,0.975345671,1.093129396,0.008527114,2.670798779
Butane,327.9360962,146289.3438,0.970363915,1.094891071,0.008541386,3.213617563
Butane,327.9360962,173899.75,0.964600146,1.096979737,0.008557622,3.842976809
Butane,327.9360962,205363.7031,0.957960665,1.099455237,0.008576068,4.569746971
Butane,327.9360962,241021.1094,0.950340688,1.10239172,0.008597006,5.406197548
Butane,327.9360962,281221.875,0.941622496,1.105882883,0.008620763,6.366319656
Butane,327.9360962,326325.375,0.931671858,1.110049009,0.008647725,7.466275692
Butane,327.9360962,376699.5313,0.920333326,1.115047693,0.008678352,8.725013733
Butane,327.9360962,432720.3125,0.907424271,1.121091127,0.008713201,10.16513252
Butane,327.9360962,494771.0938,0.892725348,1.128471613,0.008752966,11.81415367
Butane,327.9360962,563242,0.87596643,1.137606859,0.008798526,13.70641041
Butane,332.9360962,101325,0.980515003,1.090197921,0.008642987,2.169735909
Butane,332.9360962,122203.4844,0.976421118,1.09160316,0.008655412,2.627791405
Butane,332.9360962,146289.3438,0.971663058,1.093269467,0.008669571,3.161123514
Butane,332.9360962,173899.75,0.966161013,1.095241785,0.008685679,3.77914834
Butane,332.9360962,205363.7031,0.959826827,1.09757483,0.008703977,4.492367744
Butane,332.9360962,241021.1094,0.95256269,1.100336194,0.00872474,5.312586308
Butane,332.9360962,281221.875,0.944258928,1.103610039,0.008748288,6.253202438
Butane,332.9360962,326325.375,0.934791446,1.107503891,0.008774996,7.329605579
Butane,332.9360962,376699.5313,0.92401737,1.112157345,0.008805307,8.559718132
Butane,332.9360962,432720.3125,0.911770403,1.117755532,0.008839756,9.964747429
Butane,332.9360962,494771.0938,0.89785254,1.124551058,0.008879,11.57027817
Butane,332.9360962,563242,0.882023156,1.132898211,0.008923865,13.40786266
Butane,332.9360962,638529.625,0.863981307,1.14331305,0.008975413,15.5174799
Butane,337.9360962,101325,0.981352925,1.088799,0.008770769,2.135807753
Butane,337.9360962,122203.4844,0.977439165,1.090131164,0.008783091,2.586215019
Butane,337.9360962,146289.3438,0.972892284,1.091708899,0.008797135,3.110417604
Butane,337.9360962,173899.75,0.967636943,1.093573451,0.008813111,3.717553854
Butane,337.9360962,205363.7031,0.96159035,1.095775247,0.008831256,4.417782784
Butane,337.9360962,241021.1094,0.954660833,1.09837544,0.00885184,5.22247982
Butane,337.9360962,281221.875,0.946746111,1.101450443,0.008875177,6.144497395
Butane,337.9360962,326325.375,0.937731028,1.105096579,0.008901629,7.198522091
Butane,337.9360962,376699.5313,0.927484155,1.109437823,0.008931626,8.401549339
Butane,337.9360962,432720.3125,0.915853202,1.114636898,0.008965679,9.773547173
Butane,337.9360962,494771.0938,0.902658999,1.120913148,0.009004417,11.3383894
Butane,337.9360962,563242,0.887685895,1.128569484,0.009048616,13.12521744
Butane,337.9360962,638529.625,0.870667934,1.138039231,0.009099264,15.17047882
Butane,337.9360962,721036.375,0.851267099,1.149966478,0.009157659,17.52112961
Butane,342.9360962,101325,0.982147038,1.087446928,0.00889799,2.10296607
Butane,342.9360962,122203.4844,0.978403568,1.088711143,0.008910209,2.545995951
Butane,342.9360962,146289.3438,0.974056244,1.090206385,0.008924135,3.061405182
Butane,342.9360962,173899.75,0.969033897,1.091971159,0.008939976,3.65807128
Butane,342.9360962,205363.7031,0.963258445,1.094051361,0.008957964,4.345832825
Butane,342.9360962,241021.1094,0.956643939,1.096503258,0.008978368,5.135667801
Butane,342.9360962,281221.875,0.949094832,1.099395871,0.00900149,6.039927006
Butane,342.9360962,326325.375,0.940504134,1.102815866,0.009027685,7.07265234
Butane,342.9360962,376699.5313,0.93075031,1.10687387,0.009057367,8.250001907
Butane,342.9360962,432720.3125,0.919693887,1.111713886,0.009091032,9.590829849
Butane,342.9360962,494771.0938,0.907171786,1.117527008,0.009129275,11.11749554
Butane,342.9360962,563242,0.892989933,1.124574184,0.009172831,12.85702991
Butane,342.9360962,638529.625,0.876911879,1.133222222,0.009222627,14.84284878
Butane,342.9360962,721036.375,0.858641744,1.144005537,0.009279856,17.11738205
Butane,342.9360962,811170.1875,0.837796509,1.15773809,0.009346117,19.73629379
Butane,347.9360962,101325,0.982900143,1.086139917,0.009024709,2.071157455
Butane,347.9360962,122203.4844,0.979317904,1.087340593,0.00903682,2.507066011
Butane,347.9360962,146289.3438,0.975159347,1.088759184,0.009050626,3.013998032
Butane,347.9360962,173899.75,0.97035706,1.090431094,0.009066329,3.600586414
Butane,347.9360962,205363.7031,0.964837551,1.092398882,0.00908416,4.276371002
Butane,347.9360962,241021.1094,0.958519995,1.094713688,0.009104379,5.051958561
Butane,347.9360962,281221.875,0.951314986,1.097438574,0.009127285,5.939237118
Butane,347.9360962,326325.375,0.943122864,1.10065186,0.009153222,6.951658726
Butane,347.9360962,376699.5313,0.933831096,1.104452372,0.009182592,8.10461998
Butane,347.9360962,432720.3125,0.923311353,1.1089679,0.009215871,9.415968895
Butane,347.9360962,494771.0938,0.911414862,1.114366174,0.00925363,10.90671825
Butane,347.9360962,563242,0.897966206,1.120873213,0.009296568,12.6020422
Butane,347.9360962,638529.625,0.882754028,1.128802061,0.009345552,14.5327301
Butane,347.9360962,721036.375,0.865517616,1.138600349,0.00940169,16.73736763
Butane,347.9360962,811170.1875,0.845925033,1.150933862,0.009466441,19.26575279
Butane,347.9360962,909344.3125,0.823538005,1.166844845,0.009541786,22.18454742
Butane,352.9360962,101325,0.983614862,1.08487618,0.009150977,2.040331841
Butane,352.9360962,122203.4844,0.98018539,1.086017489,0.009162982,2.469361305
Butane,352.9360962,146289.3438,0.976205528,1.087364554,0.009176666,2.968114853
Butane,352.9360962,173899.75,0.97161144,1.088950157,0.00919223,3.544994831
Butane,352.9360962,205363.7031,0.966333747,1.090813518,0.0092099,4.209260941
Butane,352.9360962,241021.1094,0.960296392,1.093001723,0.009229934,4.971175194
Butane,352.9360962,281221.875,0.953415573,1.095572114,0.009252621,5.842196465
Butane,352.9360962,326325.375,0.945598245,1.098595738,0.009278299,6.835235119
Butane,352.9360962,376699.5313,0.9367401,1.102161288,0.009307358,7.964990616
Butane,352.9360962,432720.3125,0.926722646,1.106382728,0.009340256,9.248404503
Butane,352.9360962,494771.0938,0.915409744,1.111407995,0.009377543,10.70528126
Butane,352.9360962,563242,0.90264219,1.117433906,0.009419881,12.35915279
Butane,352.9360962,638529.625,0.888230264,1.124729276,0.009468088,14.23851776
Butane,352.9360962,721036.375,0.871942639,1.133672476,0.009523199,16.37866592
Butane,352.9360962,811170.1875,0.853489697,1.144814253,0.009586551,18.82448006
Butane,352.9360962,909344.3125,0.832496107,1.158994317,0.009659933,21.63492584
Butane,352.9360962,1015976.313,0.80845511,1.177565336,0.009745834,24.89069176
Butane,357.9360962,101325,0.984293699,1.083653927,0.00927685,2.010442972
Butane,357.9360962,122203.4844,0.981009066,1.084739804,0.009288747,2.432822466
Butane,357.9360962,146289.3438,0.977198422,1.086019993,0.009302307,2.92367959
Butane,357.9360962,173899.75,0.972801447,1.087525129,0.00931773,3.491199017
Butane,357.9360962,205363.7031,0.967752457,1.089291573,0.009335238,4.144377232
Butane,357.9360962,241021.1094,0.961979747,1.091362476,0.009355084,4.893155575
Butane,357.9360962,281221.875,0.955404758,1.093790293,0.009377552,5.74859333
Butane,357.9360962,326325.375,0.947940409,1.096639514,0.009402972,6.723101139
Butane,357.9360962,376699.5313,0.939489722,1.099990368,0.009431721,7.830742359
Butane,357.9360962,432720.3125,0.929943144,1.103944421,0.009464243,9.087632179
Butane,357.9360962,494771.0938,0.919175684,1.108632803,0.009501066,10.51249123
Butane,357.9360962,563242,0.907042325,1.114228129,0.009542822,12.12738991
Butane,357.9360962,638529.625,0.89337194,1.12096262,0.009590286,13.95881748
Butane,357.9360962,721036.375,0.877958357,1.129158378,0.009644423,16.03921509
Butane,357.9360962,811170.1875,0.860546947,1.13927567,0.009706471,18.40929985
Butane,357.9360962,909344.3125,0.840813696,1.151999474,0.009778055,21.12167931
Butane,357.9360962,1015976.313,0.818330526,1.168400407,0.009861395,24.24681473
Butane,357.9360962,1131489,0.792504907,1.190263271,0.009959651,27.88356209
Butane,362.9360962,101325,0.98493886,1.082471609,0.009402378,1.981447339
Butane,362.9360962,122203.4844,0.981791615,1.083505392,0.009414164,2.397394419
Butane,362.9360962,146289.3438,0.978141487,1.084723234,0.0094276,2.880621433
Butane,362.9360962,173899.75,0.973931253,1.086153388,0.00944288,3.439108372
Butane,362.9360962,205363.7031,0.969098687,1.087829471,0.009460226,4.081604004
Butane,362.9360962,241021.1094,0.963576317,1.089791536,0.009479882,4.817749023
Butane,362.9360962,281221.875,0.957290053,1.092087507,0.009502131,5.658232212
Butane,362.9360962,326325.375,0.950158536,1.094776273,0.009527292,6.615001678
Butane,362.9360962,376699.5313,0.942091286,1.097930074,0.009555733,7.701535225
Butane,362.9360962,432720.3125,0.932986796,1.101640463,0.009587885,8.933198929
Butane,362.9360962,494771.0938,0.922730029,1.106023788,0.009624253,10.32773018
Butane,362.9360962,563242,0.911188364,1.111232042,0.009665444,11.90589523
Butane,362.9360962,638529.625,0.898206949,1.117467284,0.00971219,13.69240856
Butane,362.9360962,721036.375,0.883601129,1.125005722,0.009765402,15.71723461
Butane,362.9360962,811170.1875,0.867145598,1.134235144,0.009826228,18.01752663
Butane,362.9360962,909344.3125,0.848558366,1.14572072,0.009896155,20.64057732
Butane,362.9360962,1015976.313,0.827474296,1.160322547,0.009977178,23.64853668
Butane,362.9360962,1131489,0.803400695,1.179424286,0.010072071,27.12647438
Butane,362.9360962,1256309.375,0.775635898,1.205422044,0.010184909,31.1970768
Butane,367.9360962,101325,0.98555243,1.081327438,0.009527607,1.953304052
Butane,367.9360962,122203.4844,0.982535601,1.082312584,0.009539283,2.363024712
Butane,367.9360962,146289.3438,0.979037762,1.083472013,0.009552592,2.83887434
Butane,367.9360962,173899.75,0.975004613,1.084832072,0.00956773,3.388638496
Butane,367.9360962,205363.7031,0.970377147,1.086424112,0.009584911,4.020833492
Butane,367.9360962,241021.1094,0.965091646,1.088284969,0.009604379,4.744817257
Butane,367.9360962,281221.875,0.959078372,1.09045887,0.009626407,5.570933819
Butane,367.9360962,326325.375,0.952260971,1.092999339,0.00965131,6.510702133
Butane,367.9360962,376699.5313,0.944554985,1.0959723,0.009679445,7.577061653
Butane,367.9360962,432720.3125,0.935866237,1.099459767,0.00971123,8.784690857
Butane,367.9360962,494771.0938,0.926088333,1.103565812,0.009747152,10.15044022
Butane,367.9360962,563242,0.915099919,1.108425021,0.009787791,11.69390297
Butane,367.9360962,638529.625,0.902760148,1.114213943,0.009833848,13.43821716
Butane,367.9360962,721036.375,0.888902843,1.121170878,0.009886177,15.41117859
Butane,367.9360962,811170.1875,0.873327732,1.12962532,0.009945851,17.64686966
Butane,367.9360962,909344.3125,0.855787635,1.140048385,0.01001424,20.18809319
Butane,367.9360962,1015976.313,0.835968256,1.153139591,0.01009315,23.09015083
Butane,367.9360962,1131489,0.813454986,1.169990897,0.010185042,26.42711639
Butane,367.9360962,1256309.375,0.787674844,1.192415953,0.010293433,30.30278778
Butane,367.9360962,1390868.625,0.757785797,1.223696828,0.010423644,34.87165833
Butane,372.9360962,101325,0.986136258,1.080220103,0.009652581,1.925974965
Butane,372.9360962,122203.4844,0.983243406,1.081159592,0.009664146,2.329664946
Butane,372.9360962,146289.3438,0.979890227,1.082264185,0.00967733,2.798376799
Butane,372.9360962,173899.75,0.976025045,1.083558798,0.009692323,3.339711189
Butane,372.9360962,205363.7031,0.971592128,1.085072398,0.00970934,3.961965084
Butane,372.9360962,241021.1094,0.966530919,1.086839199,0.009728617,4.674232006
Butane,372.9360962,281221.875,0.960775971,1.088899732,0.009750426,5.486532211
Butane,372.9360962,326325.375,0.954255402,1.09130311,0.00977507,6.40998745
Butane,372.9360962,376699.5313,0.946890235,1.094109297,0.009802903,7.457038879
