Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Carbon Dioxide,186.3699951,101325,0.979662061,1.380251408,0.009575489,2.937474489
Carbon Dioxide,191.3699951,101325,0.981116831,1.374869823,0.009732557,2.856484175
Carbon Dioxide,191.3699951,137661.0781,0.974184632,1.383719206,0.009745398,3.908461094
Carbon Dioxide,196.3699951,101325,0.98244077,1.36966598,0.009910633,2.780000448
Carbon Dioxide,196.3699951,137661.0781,0.976006687,1.377823472,0.009923615,3.801832914
Carbon Dioxide,196.3699951,183613.8594,0.967759311,1.388617158,0.009938969,5.114141464
Carbon Dioxide,201.3699951,101325,0.983648419,1.364633441,0.010105588,2.707644939
Carbon Dioxide,201.3699951,137661.0781,0.977666974,1.372169495,0.010118688,3.701137543
Carbon Dioxide,201.3699951,183613.8594,0.970008314,1.382107258,0.010134197,4.975594997
Carbon Dioxide,201.3699951,240821.4063,0.960320055,1.395165443,0.01015249,6.591649532
Carbon Dioxide,206.3699951,101325,0.984752417,1.359766722,0.010314027,2.63908124
Carbon Dioxide,206.3699951,137661.0781,0.979183435,1.366742969,0.01032722,3.605872154
Carbon Dioxide,206.3699951,183613.8594,0.972059965,1.375914454,0.010342856,4.844797611
Carbon Dioxide,206.3699951,240821.4063,0.963060558,1.387916446,0.010361311,6.41364193
Carbon Dioxide,206.3699951,311031.0938,0.95180589,1.403617024,0.010383031,8.381440163
Carbon Dioxide,211.3699951,101325,0.985763729,1.355060697,0.010533151,2.574009895
Carbon Dioxide,211.3699951,137661.0781,0.980571389,1.361531377,0.010546417,3.515591145
Carbon Dioxide,211.3699951,183613.8594,0.973935723,1.37001431,0.010562154,4.721082687
Carbon Dioxide,211.3699951,240821.4063,0.965562642,1.381074548,0.010580741,6.245699406
Carbon Dioxide,211.3699951,311031.0938,0.955107689,1.395472646,0.010602623,8.154886246
Carbon Dioxide,211.3699951,396088.3125,0.942160487,1.414269924,0.010628343,10.52770233
Carbon Dioxide,216.3699951,101325,0.986691952,1.350510955,0.010760661,2.512162685
Carbon Dioxide,216.3699951,137661.0781,0.981844366,1.356523514,0.01077398,3.429898262
Carbon Dioxide,216.3699951,183613.8594,0.975654364,1.364385962,0.010789795,4.603860855
Carbon Dioxide,216.3699951,240821.4063,0.967852116,1.374603033,0.010808486,6.086937428
Carbon Dioxide,216.3699951,311031.0938,0.958123744,1.387845159,0.010830498,7.941361427
Carbon Dioxide,216.3699951,396088.3125,0.946098983,1.405033112,0.010856368,10.24160957
Carbon Dioxide,216.3699951,497924.7188,0.931330979,1.427482367,0.010886756,13.07893467
Carbon Dioxide,221.3699951,101325,0.987545431,1.346112728,0.010994664,2.453299284
Carbon Dioxide,221.3699951,137661.0781,0.983014107,1.351709247,0.01100802,3.348439217
Carbon Dioxide,221.3699951,183613.8594,0.977232277,1.359010816,0.011023891,4.492609501
Carbon Dioxide,221.3699951,240821.4063,0.96995151,1.368470311,0.011042661,5.936576843
Carbon Dioxide,221.3699951,311031.0938,0.960885108,1.380681872,0.011064773,7.739686489
Carbon Dioxide,221.3699951,396088.3125,0.949697495,1.396449685,0.011090759,9.972355843
Carbon Dioxide,221.3699951,497924.7188,0.935988307,1.416902423,0.011121267,12.71991634
Carbon Dioxide,221.3699951,618547.125,0.919266999,1.443694115,0.011157117,16.08874321
Carbon Dioxide,226.3699951,101325,0.988331676,1.341861844,0.011233612,2.397202969
Carbon Dioxide,226.3699951,137661.0781,0.984090924,1.347079635,0.011246989,3.270896673
Carbon Dioxide,226.3699951,183613.8594,0.978683591,1.353872657,0.011262897,4.386862755
Carbon Dioxide,226.3699951,240821.4063,0.971880555,1.362649083,0.011281721,5.793928146
Carbon Dioxide,226.3699951,311031.0938,0.963418841,1.373938203,0.011303907,7.548829079
Carbon Dioxide,226.3699951,396088.3125,0.952993274,1.38844645,0.011329978,9.718362808
Carbon Dioxide,226.3699951,497924.7188,0.940243363,1.407149553,0.011360572,12.3826704
Carbon Dioxide,226.3699951,618547.125,0.924733281,1.431448936,0.011396483,15.64037704
Carbon Dioxide,226.3699951,760026.5,0.905918837,1.463454604,0.011438741,19.61689949
Carbon Dioxide,231.3699951,101325,0.989057064,1.337753534,0.011476234,2.343678236
Carbon Dioxide,231.3699951,137661.0781,0.985083938,1.342625737,0.011489617,3.196985483
Carbon Dioxide,231.3699951,183613.8594,0.98002094,1.348956585,0.011505545,4.286203861
Carbon Dioxide,231.3699951,240821.4063,0.973656297,1.357115388,0.011524404,5.658380508
Carbon Dioxide,231.3699951,311031.0938,0.96574831,1.367575645,0.011546638,7.367880821
Carbon Dioxide,231.3699951,396088.3125,0.956018329,1.380961657,0.011572766,9.478259087
Carbon Dioxide,231.3699951,497924.7188,0.944140375,1.39812243,0.011603416,12.0650692
Carbon Dioxide,231.3699951,618547.125,0.92972517,1.420255661,0.011639358,15.22021961
Carbon Dioxide,231.3699951,760026.5,0.912293911,1.449124813,0.011681578,19.05884933
Carbon Dioxide,231.3699951,924488.1875,0.891235888,1.487463951,0.011731384,23.73074913
Carbon Dioxide,236.3699951,101325,0.989727437,1.333783388,0.011721495,2.292547941
Carbon Dioxide,236.3699951,137661.0781,0.986001134,1.338339686,0.011734872,3.126447678
Carbon Dioxide,236.3699951,183613.8594,0.981255352,1.344249487,0.011750805,4.19025898
Carbon Dioxide,236.3699951,240821.4063,0.975293934,1.351848006,0.011769679,5.529386997
Carbon Dioxide,236.3699951,311031.0938,0.967894077,1.361560941,0.011791938,7.196037292
Carbon Dioxide,236.3699951,396088.3125,0.958800673,1.373942733,0.011818098,9.250839233
Carbon Dioxide,236.3699951,497924.7188,0.947717786,1.389736891,0.011848775,11.765275
Carbon Dioxide,236.3699951,618547.125,0.934295774,1.409974694,0.01188472,14.82537937
Carbon Dioxide,236.3699951,760026.5,0.918110788,1.436144114,0.01192688,18.53749657
Carbon Dioxide,236.3699951,924488.1875,0.898631811,1.470494866,0.011976491,23.03758812
Carbon Dioxide,236.3699951,1114102.5,0.875163972,1.51663053,0.012035236,28.50710487
