Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Acetylene,189.2556458,101325,0.97625041,1.341576815,0.006504417,1.717377782
Acetylene,194.2556458,101325,0.977895677,1.334268808,0.006686978,1.670358658
Acetylene,194.2556458,134665.1406,0.970424414,1.342693448,0.006700028,2.237067699
Acetylene,199.2556458,101325,0.97939682,1.327279687,0.006869761,1.625947833
Acetylene,199.2556458,134665.1406,0.972447455,1.335009575,0.006882784,2.176394939
Acetylene,199.2556458,176084.5,0.963688314,1.345092535,0.006898425,2.871661186
Acetylene,204.2556458,101325,0.980769575,1.320599079,0.007051996,1.583925962
Acetylene,204.2556458,134665.1406,0.974295557,1.32770896,0.00706497,2.119091511
Acetylene,204.2556458,176084.5,0.966145039,1.336950064,0.007080561,2.794242382
Acetylene,204.2556458,226836.3281,0.955987096,1.348943114,0.00709924,3.637858629
Acetylene,209.2556458,101325,0.98202759,1.314216495,0.007233185,1.544098616
Acetylene,209.2556458,134665.1406,0.975987613,1.320771217,0.007246091,2.06487155
Acetylene,209.2556458,176084.5,0.968391418,1.329263091,0.007261608,2.721149206
Acetylene,209.2556458,226836.3281,0.958937407,1.340237379,0.007280203,3.540009737
Acetylene,209.2556458,288248.7188,0.94726944,1.354439259,0.00730244,4.553821087
Acetylene,214.2556458,101325,0.983182847,1.308120847,0.007413028,1.506292582
Acetylene,214.2556458,134665.1406,0.977540016,1.314177036,0.007425849,2.013481617
Acetylene,214.2556458,176084.5,0.970450103,1.322000146,0.007441274,2.652008772
Acetylene,214.2556458,226836.3281,0.96163708,1.332071185,0.007459761,3.447691679
Acetylene,214.2556458,288248.7188,0.950778067,1.345039248,0.007481865,4.431138039
Acetylene,214.2556458,361717.5313,0.937487543,1.361810684,0.00750827,5.63937664
Acetylene,219.2556458,101325,0.984245718,1.302301168,0.00759137,1.470352888
Acetylene,219.2556458,134665.1406,0.97896719,1.307908416,0.007604095,1.964697003
Acetylene,219.2556458,176084.5,0.972340703,1.31513238,0.007619408,2.5864923
Acetylene,219.2556458,226836.3281,0.964113116,1.324399829,0.007637767,3.360416651
Acetylene,219.2556458,288248.7188,0.953990161,1.336279035,0.007659714,4.315508842
Acetylene,219.2556458,361717.5313,0.941624403,1.351551652,0.007685916,5.486563206
Acetylene,219.2556458,448699.4375,0.926595628,1.37133491,0.007717208,6.916299343
Acetylene,224.2556458,101325,0.985225439,1.296746373,0.007768164,1.436140418
Acetylene,224.2556458,134665.1406,0.980281711,1.301948309,0.00778078,1.918316245
Acetylene,224.2556458,176084.5,0.974080443,1.308633804,0.007795969,2.524307489
Acetylene,224.2556458,226836.3281,0.966388702,1.317183256,0.007814181,3.277756453
Acetylene,224.2556458,288248.7188,0.956937611,1.328097582,0.007835951,4.206295013
Acetylene,224.2556458,361717.5313,0.945412397,1.342054963,0.007861928,5.342741966
Acetylene,224.2556458,448699.4375,0.931436956,1.360008478,0.007892918,6.726946354
Acetylene,224.2556458,550705,0.914549351,1.383353949,0.007929949,8.408679008
Acetylene,229.2556458,101325,0.986129999,1.291445255,0.007943434,1.403530002
Acetylene,229.2556458,134665.1406,0.981494606,1.296280384,0.00795593,1.874159455
