Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Propene,225.6078796,101325,0.970138252,1.202016473,0.007006697,2.342959166
Propene,230.6078796,101325,0.971869528,1.198020339,0.007168953,2.288076401
Propene,230.6078796,126763.5234,0.96457541,1.202888846,0.00718322,2.884164095
Propene,235.6078796,101325,0.973471701,1.194174409,0.007329904,2.235833645
Propene,235.6078796,126763.5234,0.96660769,1.198689818,0.007344061,2.817021847
Propene,235.6078796,156901.4063,0.95836091,1.204299331,0.007360613,3.516769648
Propene,240.6078796,101325,0.97495693,1.190467834,0.007489566,2.18603611
Propene,240.6078796,126763.5234,0.968489945,1.194663525,0.007503601,2.753121138
Propene,240.6078796,156901.4063,0.960727632,1.199860334,0.00752001,3.435205221
Propene,240.6078796,192285.6094,0.951467991,1.206300497,0.007539165,4.250878811
Propene,245.6078796,101325,0.976335943,1.186891556,0.007647995,2.138508797
Propene,245.6078796,126763.5234,0.970236182,1.190796733,0.007661899,2.692219973
Propene,245.6078796,156901.4063,0.962921023,1.195620656,0.007678155,3.357606888
Propene,245.6078796,192285.6094,0.9542045,1.201578379,0.007697127,4.152398586
Propene,245.6078796,233484.3594,0.943871915,1.208952785,0.007719243,5.097279549
Propene,250.6078796,101325,0.977618277,1.183437824,0.007805275,2.093093157
Propene,250.6078796,126763.5234,0.97185874,1.187078595,0.007819042,2.634100914
Propene,250.6078796,156901.4063,0.964957178,1.19156456,0.007835137,3.283674002
Propene,250.6078796,192285.6094,0.95674181,1.197087646,0.007853915,4.058759212
Propene,250.6078796,233484.3594,0.947015524,1.203897357,0.007875796,4.978998184
Propene,250.6078796,281084.875,0.935549259,1.212326884,0.007901285,6.067532063
Propene,255.6078796,101325,0.978812516,1.180099845,0.00796151,2.049645901
Propene,255.6078796,126763.5234,0.973368704,1.183499217,0.007975131,2.578568459
Propene,255.6078796,156901.4063,0.9668504,1.187678218,0.007991058,3.213137388
Propene,255.6078796,192285.6094,0.959098399,1.192808509,0.008009637,3.969587326
Propene,255.6078796,233484.3594,0.949931324,1.199111223,0.008031275,4.866618633
Propene,255.6078796,281084.875,0.939139903,1.206878543,0.008056463,5.9260993
Propene,255.6078796,335691.1563,0.926477909,1.2165066,0.008085792,7.174085617
Propene,260.6078796,101325,0.979926109,1.176871896,0.00811681,2.00803709
Propene,260.6078796,126763.5234,0.97477591,1.180050492,0.008130282,2.525445223
Propene,260.6078796,156901.4063,0.968613327,1.18394959,0.008146034,3.145754576
Propene,260.6078796,192285.6094,0.961290598,1.188723803,0.008164406,3.884548187
Propene,260.6078796,233484.3594,0.952640414,1.194570065,0.008185796,4.759674072
Propene,260.6078796,281084.875,0.942470849,1.201745391,0.008210676,5.79185915
Propene,260.6078796,335691.1563,0.930558205,1.210594177,0.008239619,7.005591393
Propene,260.6078796,397921.8125,0.916636407,1.221591711,0.008273329,8.430418015
Propene,265.6078796,101325,0.980965972,1.173748732,0.008271288,1.968147755
Propene,265.6078796,126763.5234,0.97608906,1.176724911,0.008284608,2.474570751
Propene,265.6078796,156901.4063,0.970257282,1.180368543,0.008300181,3.081306934
Propene,265.6078796,192285.6094,0.96333307,1.184819221,0.008318341,3.803341866
Propene,265.6078796,233484.3594,0.955161512,1.190252781,0.008339477,4.657748222
Propene,265.6078796,281084.875,0.945566177,1.196896672,0.008364047,5.664226055
Propene,265.6078796,335691.1563,0.934343159,1.205052257,0.008392603,6.845868111
Propene,265.6078796,397921.8125,0.921252072,1.215129018,0.008425817,8.2302742
Propene,265.6078796,468408.25,0.906003118,1.227702975,0.00846453,9.851216316
Propene,270.6078796,101325,0.981938183,1.170725703,0.008425061,1.929869771
Propene,270.6078796,126763.5234,0.977316141,1.173516035,0.008438224,2.425798655
Propene,270.6078796,156901.4063,0.9717924,1.176926017,0.008453614,3.019596338
