Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Propane,231.1264038,101325,0.9680053,1.174996853,0.006599412,2.401861429
Propane,236.1264038,101325,0.969827354,1.171287775,0.006748995,2.346584558
Propane,236.1264038,125851.6875,0.962268054,1.175707102,0.006762447,2.937494278
Propane,241.1264038,101325,0.97151643,1.167719126,0.00689792,2.293930769
Propane,241.1264038,125851.6875,0.964396358,1.171816587,0.006911325,2.870234013
Propane,241.1264038,154753.9375,0.955883145,1.176889539,0.006926872,3.560826063
Propane,246.1264038,101325,0.973084748,1.164281607,0.007045978,2.243708134
Propane,246.1264038,125851.6875,0.966370583,1.168087482,0.007059322,2.806181431
Propane,246.1264038,154753.9375,0.958350718,1.172785163,0.007074799,3.479506493
Propane,246.1264038,188525.2813,0.948824406,1.178590655,0.007092729,4.281383514
Propane,251.1264038,101325,0.974543095,1.160967231,0.007193039,2.195744514
Propane,251.1264038,125851.6875,0.968204916,1.164508462,0.007206311,2.745098829
Propane,251.1264038,154753.9375,0.960640967,1.168867111,0.007221705,3.40209794
Propane,251.1264038,188525.2813,0.951666474,1.174234748,0.007239535,4.183608532
Propane,251.1264038,227678.375,0.941067517,1.180864453,0.007260172,5.109368324
Propane,256.1264038,101325,0.975901306,1.157769442,0.007339037,2.149883747
Propane,256.1264038,125851.6875,0.969911933,1.161069632,0.007352225,2.6867733
Propane,256.1264038,154753.9375,0.962770164,1.165121078,0.007367525,3.328306675
Propane,256.1264038,188525.2813,0.954305351,1.17009449,0.007385244,4.090595245
Propane,256.1264038,227678.375,0.944321394,1.176212668,0.007405743,4.992363453
Propane,256.1264038,272743.2188,0.932589293,1.183774233,0.00742946,6.055747986
Propane,261.1264038,101325,0.977167904,1.154682279,0.00748395,2.105984688
Propane,261.1264038,125851.6875,0.971502662,1.157762527,0.007497048,2.631012201
Propane,261.1264038,154753.9375,0.964752614,1.161534905,0.007512243,3.257868528
Propane,261.1264038,188525.2813,0.956759691,1.166152239,0.007529838,4.00197649
Propane,261.1264038,227678.375,0.947343409,1.171811581,0.007550187,4.881150246
Propane,261.1264038,272743.2188,0.936294794,1.178773999,0.007573715,5.916285992
Propane,261.1264038,324265.3438,0.923367262,1.187395215,0.007600938,7.132370472
