Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Ammonia,240.3740997,101325,0.985526204,1.334668398,0.008213907,0.876095593
Ammonia,245.3740997,101325,0.986311436,1.332739353,0.008389638,0.857560098
Ammonia,245.3740997,129419.2578,0.982455075,1.336992741,0.008394458,1.099634171
Ammonia,250.3740997,101325,0.987043202,1.330825806,0.008565955,0.839811444
Ammonia,250.3740997,129419.2578,0.983396411,1.334855676,0.008570766,1.076642752
Ammonia,250.3740997,163490.6719,0.978940845,1.339865804,0.008576334,1.366274118
Ammonia,255.3740997,101325,0.987725973,1.328925371,0.008742727,0.822799504
Ammonia,255.3740997,129419.2578,0.984274447,1.332747698,0.008747526,1.054621458
Ammonia,255.3740997,163490.6719,0.980059326,1.337493062,0.008753081,1.337995052
Ammonia,255.3740997,204416.1094,0.974952757,1.343359113,0.008759493,1.68168807
Ammonia,260.3740845,101325,0.988363922,1.327036142,0.008919843,0.806478262
Ammonia,260.3740845,129419.2578,0.985094488,1.33066535,0.00892463,1.033508301
Ammonia,260.3740845,163490.6719,0.98110342,1.335165024,0.008930169,1.310904741
Ammonia,260.3740845,204416.1094,0.976270795,1.340718508,0.008936564,1.647167563
Ammonia,260.3740845,253137.9063,0.970460951,1.347551584,0.008943927,2.051975012
Ammonia,265.3740845,101325,0.988960743,1.325157046,0.009097214,0.790805638
Ammonia,265.3740845,129419.2578,0.985861361,1.32860589,0.009101984,1.013246894
Ammonia,265.3740845,163490.6719,0.982079327,1.332877159,0.009107507,1.284927368
Ammonia,265.3740845,204416.1094,0.977502108,1.338140726,0.009113881,1.614096999
Ammonia,265.3740845,253137.9063,0.972002566,1.344605327,0.009121221,2.010119915
Ammonia,265.3740845,310662.0313,0.965436697,1.352530956,0.009129656,2.483685255
Ammonia,270.3740845,101325,0.989519715,1.323286772,0.00927476,0.775742948
Ammonia,270.3740845,129419.2578,0.986579359,1.326567411,0.009279514,0.993785203
Ammonia,270.3740845,163490.6719,0.982992709,1.330625653,0.009285018,1.259993553
Ammonia,270.3740845,204416.1094,0.978653848,1.335619926,0.009291369,1.582383275
Ammonia,270.3740845,253137.9063,0.973443627,1.34174335,0.009298683,1.970026255
Ammonia,270.3740845,310662.0313,0.967227459,1.349234939,0.009307086,2.433241367
Ammonia,270.3740845,378056.4375,0.959852338,1.358395934,0.009316729,2.983856201
Ammonia,275.3740845,101325,0.990043819,1.321424603,0.00945242,0.761254489
Ammonia,275.3740845,129419.2578,0.987252355,1.324547887,0.009457156,0.975075781
Ammonia,275.3740845,163490.6719,0.983848512,1.328407407,0.00946264,1.236039639
